,Province_State,Deaths-03-10-2020,Deaths-03-11-2020,Deaths-03-12-2020,Deaths-03-13-2020,Deaths-03-14-2020,Deaths-03-15-2020,Deaths-03-16-2020,Deaths-03-17-2020,Deaths-03-18-2020,Deaths-03-19-2020,Deaths-03-20-2020,Deaths-03-21-2020,Deaths-03-22-2020,Deaths-03-23-2020,Deaths-03-24-2020,Deaths-03-25-2020,Deaths-03-26-2020,Deaths-03-27-2020,Deaths-03-28-2020,Deaths-03-29-2020,Deaths-03-30-2020,Deaths-03-31-2020,Deaths-04-01-2020,Deaths-04-02-2020,Deaths-04-03-2020,Deaths-04-04-2020,Deaths-04-05-2020,Deaths-04-06-2020,Deaths-04-07-2020,Deaths-04-08-2020,Deaths-04-09-2020,Deaths-04-10-2020,Deaths-04-11-2020,Deaths-04-12-2020,Deaths-04-13-2020,Deaths-04-14-2020,Deaths-04-15-2020,Deaths-04-16-2020
0,Arizona,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,13,15,17,20,24,29,32,41,52,64,65,73,80,89,97,108,115,122,131,142,150
1,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,7,8,10,12,12,14,16,16,18,18,21,21,25,27,29,32,33,37
2,California,2,3,4,4,5,6,7,12,13,18,23,24,30,39,50,65,81,94,110,124,146,173,199,238,265,289,348,380,432,495,544,583,605,641,715,768,861,957
3,Colorado,0,0,0,0,1,1,1,2,2,4,4,4,6,7,8,16,19,27,31,47,47,69,69,80,97,111,140,150,179,193,193,226,250,289,306,327,328,355
4,Connecticut,0,0,0,0,0,0,0,0,0,2,3,4,8,10,12,19,21,27,33,34,36,69,85,112,131,165,189,206,277,326,380,448,494,554,602,671,868,971
5,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,6,10,11,12,14,14,14,15,16,19,23,32,33,35,41,43,46,55
6,District of Columbia,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,5,9,9,9,12,15,21,22,24,22,27,32,38,47,50,52,67,72,81
7,Florida,2,2,2,2,3,4,5,6,7,9,10,13,13,18,18,23,29,35,54,56,63,85,87,164,170,195,221,236,283,309,354,390,438,461,499,571,596,668
8,Georgia,0,0,1,1,1,1,1,1,3,10,13,14,25,25,32,40,48,64,69,80,87,111,139,163,184,201,211,229,329,362,379,416,429,433,465,525,552,587
9,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,6,6,8,9,9,9,9,9
10,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,8,9,9,9,10,10,10,13,15,18,24,25,27,27,33,39,41
11,Illinois,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,19,26,34,47,66,73,99,141,163,210,244,274,307,308,462,462,597,677,720,798,868,949,1072
12,Indiana,0,0,0,0,0,0,1,2,2,2,2,4,6,7,12,14,17,25,31,32,35,49,65,78,102,116,127,143,173,203,245,300,330,343,350,387,436,477
13,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,6,7,9,11,11,14,18,25,25,27,29,31,34,41,41,49,53,60
14,Kansas,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,7,8,9,10,12,18,21,22,25,29,34,42,42,55,56,62,69,71,80
15,Kentucky,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,5,5,7,9,9,11,11,18,31,34,40,45,45,65,65,73,90,90,97,113,106,115,129
16,Louisiana,0,0,0,0,1,2,3,4,4,10,14,16,20,35,46,65,83,119,137,151,185,239,273,310,370,409,477,512,582,652,702,755,806,840,884,1013,1103,1156
17,Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,7,9,10,10,10,12,14,16,17,19,19,19,20,24,27
18,Maryland,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,4,5,5,10,15,18,31,36,43,54,67,91,103,124,138,171,206,236,262,302,311,319
19,Massachusetts,0,0,0,0,0,0,0,0,0,0,1,1,5,9,11,15,25,35,44,48,56,89,122,154,192,216,231,260,356,433,503,599,686,756,844,844,1108,1108
20,Michigan,0,0,0,0,0,0,0,0,0,3,3,5,9,15,24,43,61,92,111,132,184,259,335,417,479,540,617,727,845,959,1076,1276,1384,1479,1602,1768,1921,1996
21,Minnesota,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,9,10,12,17,18,22,24,29,30,34,39,50,57,64,70,70,79,87,87
22,Mississippi,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,8,13,14,16,20,22,26,29,35,43,51,60,67,76,82,93,96,98,111,122,129
23,Missouri,0,0,0,0,0,0,0,0,0,1,2,3,3,4,7,8,9,9,10,13,13,15,18,22,25,33,44,47,65,86,93,99,116,118,123,149,153,169
24,Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,5,6,6,6,6,6,6,6,6,6,7,7,7,7
25,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,8,9,10,12,14,15,17,17,17,20,20,21
26,Nevada,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,6,10,10,10,15,15,26,31,38,43,46,46,46,72,72,81,90,102,112,114,126,131,137
27,New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,5,7,9,9,9,13,21,21,22,23,23,25,32,32
28,New Jersey,1,1,1,1,1,2,2,3,3,9,11,16,20,27,44,62,81,108,140,161,198,267,355,537,646,846,917,1003,1232,1504,1709,1932,2183,2350,2443,2805,3156,3518
29,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,5,6,10,10,12,12,13,13,16,17,19,26,26,31,36,36
30,New York,0,0,0,0,2,3,10,13,16,34,42,60,117,158,210,285,385,527,728,965,1218,1550,1941,2373,2935,3565,4159,4698,5489,6268,7067,7867,8627,9385,10058,10842,11617,14832
31,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,7,12,14,21,27,34,38,45,53,66,76,83,89,89,94,112,130,150
32,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,4,4,5,6,7,7,8,8,9,9
33,Ohio,0,0,0,0,0,0,0,0,0,0,2,3,3,6,8,11,15,19,25,29,40,55,65,81,91,102,119,142,167,193,213,231,247,253,274,324,362,407
34,Oklahoma,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,7,8,15,16,16,23,30,34,38,42,46,51,67,79,80,88,94,96,99,108,123,131
35,Oregon,0,0,0,0,0,1,1,1,2,3,3,5,5,5,8,10,11,12,13,13,16,18,19,21,22,22,27,27,29,33,44,44,48,52,53,55,58,64
36,Pennsylvania,0,0,0,0,0,0,0,0,0,1,1,2,4,6,8,15,18,22,34,41,50,63,74,90,102,136,151,179,247,318,345,418,503,557,589,691,779,841
37,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,8,10,12,14,17,25,27,30,35,43,43,56,63,63,80,80,87
38,South Carolina,0,0,0,0,0,0,1,1,1,1,1,3,3,5,5,7,9,13,15,16,18,22,26,31,34,40,44,48,51,51,67,72,80,82,82,97,106,111
39,South Dakota,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,7
40,Tennessee,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,6,7,8,14,23,24,36,41,50,53,65,72,80,94,98,106,106,109,124,124,136
41,Texas,0,0,0,0,0,0,0,1,3,5,5,5,7,9,12,15,21,26,30,37,45,54,66,77,100,116,136,150,160,189,210,238,266,283,305,342,375,414
42,Utah,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,5,5,7,7,8,8,13,13,13,13,17,18,18,13,18,20,20
43,Vermont,0,0,0,0,0,0,0,0,0,0,2,2,2,5,7,8,9,10,12,12,12,13,16,17,17,20,22,23,23,23,23,24,25,27,28,29,29,33
44,Virginia,0,0,0,0,1,1,1,2,2,2,2,2,6,6,9,9,10,10,13,20,15,27,34,41,46,52,52,66,66,66,109,121,130,141,149,154,195,208
45,Washington,23,29,31,37,37,40,48,55,55,74,83,94,97,109,116,133,150,157,188,198,205,225,234,271,291,315,336,381,400,426,456,483,495,506,513,530,552,579
46,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,4,4,5,5,5,6,8,9,10,12
47,Wisconsin,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,7,10,14,17,18,20,25,27,38,51,54,74,78,92,100,111,128,137,144,154,170,183,197
48,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
